row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
142 http://dbpedia.org/ontology/ShoppingMall 8731 8692 http://schema.org/ShoppingCenter 8352 8313 8352 8313 8731 8692 0.9566 0.9564 False True True -0.02
143 http://purl.org/linguistics/gold/Language 8202 8202 http://www.lingvoj.org/ontology#Lingvo 522 522 0 0 8724 8724 0.0 0.0 False False False 0
144 http://dbpedia.org/ontology/Website 7682 6354 http://schema.org/WebPage 7329 6001 7328 6000 7683 6355 0.9538 0.9441 False False False -1.02
145 http://umbel.org/umbel/sc/Place 7475 7475 http://sw.opencyc.org/2008/06/10/concept/en/Place 3 3 0 0 7478 7478 0.0 0.0 False False False 0
146 http://dbpedia.org/ontology/Church 7314 6795 http://linkedgeodata.org/ontology/Church 85 85 0 0 7399 6880 0.0 0.0 False False False 0
147 http://umbel.org/umbel/sc/City 7211 7211 http://sw.opencyc.org/2008/06/10/concept/en/City 5152 5152 0 0 12363 12363 0.0 0.0 False False False 0
148 http://swrc.ontoware.org/ontology#PhDThesis 7084 7084 http://lsdis.cs.uga.edu/projects/semdis/opus#Doctoral_Dissertation 90 90 0 0 7174 7174 0.0 0.0 False False False 0
149 http://linkedgeodata.org/ontology/Lighthouse 6988 6988 http://dbpedia.org/ontology/Lighthouse 4082 4063 0 0 11070 11051 0.0 0.0 False False False 0
150 http://schema.org/Painting 6869 4980 http://dbpedia.org/ontology/Painting 6869 4980 6869 4980 6869 4980 1.0 1.0 False True True 0
151 http://umbel.org/umbel/sc/GeographicalRegion 6843 6843 http://sw.opencyc.org/2008/06/10/concept/en/GeographicalRegion 229 229 0 0 7072 7072 0.0 0.0 False False False 0
152 http://dbpedia.org/ontology/Drug 6657 6600 http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/drugs 4308 4082 0 0 10965 10682 0.0 0.0 False False False 0
153 http://dbpedia.org/ontology/Drug 6657 6600 http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/drugs 4772 4772 0 13 11429 11359 0.0 0.0011 False False False 9999
154 http://dbpedia.org/ontology/Drug 6657 6600 http://www4.wiwiss.fu-berlin.de/dailymed/vocab/resource/class/Offer 4308 4082 0 0 10965 10682 0.0 0.0 False False False 0
155 http://www.w3.org/2004/02/skos/core#OrderedCollection 6457 6446 http://dbpedia.org/ontology/List 5892 5881 5892 5881 6457 6446 0.9125 0.9123 False True True -0.02
156 http://data.linkedct.org/vocab/resource/state 5936 5936 http://umbel.org/umbel/sc/State_Geopolitical 43 43 0 0 5979 5979 0.0 0.0 False False False 0
157 http://umbel.org/umbel/sc/Actor 5804 5804 http://sw.opencyc.org/2008/06/10/concept/en/Actor 557 557 0 0 6361 6361 0.0 0.0 False False False 0
158 http://umbel.org/umbel/sc/Artist 5608 5608 http://sw.opencyc.org/2008/06/10/concept/en/Artist 2 2 0 0 5610 5610 0.0 0.0 False False False 0
159 http://d-nb.info/standards/elementset/gnd#Language 5453 5453 http://www.lingvoj.org/ontology#Lingvo 522 522 0 0 5975 5975 0.0 0.0 False False False 0
160 http://dbpedia.org/ontology/GovernmentAgency 5268 5217 http://schema.org/GovernmentOrganization 4732 4681 4732 4681 5268 5217 0.8983 0.8973 False True True -0.11
