concept_id;concept_uri;nb_instances;inference;comment
1207;http://sw.opencyc.org/2008/06/10/concept/en/TelephoneState;2;(with;inf)
1208;http://umbel.org/umbel/sc/Temperature;2;(no;inf)
1208;http://umbel.org/umbel/sc/Temperature;2;(with;inf)
1210;http://umbel.org/umbel/sc/TerrestrialPlanet;2;(no;inf)
1210;http://umbel.org/umbel/sc/TerrestrialPlanet;2;(with;inf)
1218;http://umbel.org/umbel/sc/TopologyConcept;2;(no;inf)
1218;http://umbel.org/umbel/sc/TopologyConcept;2;(with;inf)
1236;http://umbel.org/umbel/sc/VerdictOfTrial;2;(no;inf)
1236;http://umbel.org/umbel/sc/VerdictOfTrial;2;(with;inf)
1237;http://sw.opencyc.org/2008/06/10/concept/en/VerdictOfTrial;2;(no;inf)
1237;http://sw.opencyc.org/2008/06/10/concept/en/VerdictOfTrial;2;(with;inf)
1263;http://web.resource.org/cc/Prohibition;2;(no;inf)
1263;http://web.resource.org/cc/Prohibition;2;(with;inf)
1264;http://creativecommons.org/ns#Prohibition;2;(no;inf)
1264;http://creativecommons.org/ns#Prohibition;2;(with;inf)
1275;http://daml.umbc.edu/ontologies/cobra/0.4/space-basic#University;2;(no;inf)
1275;http://daml.umbc.edu/ontologies/cobra/0.4/space-basic#University;2;(with;inf)
1278;http://www.bardok.net/ontologies/2007/1/Libros.owl#Autor;2;(no;inf)
1278;http://www.bardok.net/ontologies/2007/1/Libros.owl#Autor;2;(with;inf)
1279;http://www.bardok.net/ontologies/2007/1/Books.owl#Author;2;(no;inf)
1279;http://www.bardok.net/ontologies/2007/1/Books.owl#Author;2;(with;inf)
1281;http://www.bardok.net/ontologies/2007/1/Books.owl#Library;2;(no;inf)
1281;http://www.bardok.net/ontologies/2007/1/Books.owl#Library;2;(with;inf)
1287;http://www.cyc.com/2004/06/04/cyc#Agent;2;(no;inf)
1287;http://www.cyc.com/2004/06/04/cyc#Agent;2;(with;inf)
1296;http://www.daml.org/2002/03/tutorial/bushes#Country;2;(no;inf)
1296;http://www.daml.org/2002/03/tutorial/bushes#Country;2;(with;inf)
1308;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/GeoMapRO.owl#Country;2;(no;inf)
1308;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/GeoMapRO.owl#Country;2;(with;inf)
1313;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/cidades.owl#Estado;2;(no;inf)
1313;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/cidades.owl#Estado;2;(with;inf)
